facet
"{'mp-571664', 'mp-135', 'mp-669917'}"
"{'mp-131', 'mp-135', 'mp-1188413'}"
"{'mp-571664', 'mp-135', 'mp-1188413'}"
"{'mp-135', 'mp-567395', 'mp-1934'}"
"{'mp-131', 'mp-135', 'mp-567395'}"
"{'mp-135', 'mp-865933', 'mp-279'}"
"{'mp-135', 'mp-865933', 'mp-29720'}"
"{'mp-135', 'mp-567395', 'mp-37'}"
"{'mp-865964', 'mp-135', 'mp-570466'}"
"{'mp-865964', 'mp-135', 'mp-573471'}"
"{'mp-135', 'mp-567395', 'mp-1197547'}"
"{'mp-866179', 'mp-135', 'mp-123'}"
"{'mp-866179', 'mp-135', 'mp-7396'}"
"{'mp-866181', 'mp-135', 'mp-123'}"
"{'mp-866181', 'mp-135', 'mp-510430'}"
"{'mp-162', 'mp-135', 'mp-1207599'}"
"{'mp-866191', 'mp-135', 'mp-1207599'}"
"{'mp-866191', 'mp-135', 'mp-29720'}"
"{'mp-135', 'mp-1059256', 'mp-574275'}"
"{'mp-135', 'mp-7396', 'mp-1184067'}"
"{'mp-600561', 'mp-135', 'mp-975904'}"
"{'mp-11564', 'mp-135', 'mp-600561'}"
"{'mp-135', 'mp-143', 'mp-867162'}"
"{'mp-11564', 'mp-135', 'mp-867162'}"
"{'mp-135', 'mp-30828', 'mp-1195042'}"
"{'mp-867174', 'mp-135', 'mp-574275'}"
"{'mp-867174', 'mp-135', 'mp-30828'}"
"{'mp-135', 'mp-867197', 'mp-29210'}"
"{'mp-135', 'mp-867197', 'mp-23'}"
"{'mp-975904', 'mp-135', 'mp-867227'}"
"{'mp-135', 'mp-279', 'mp-2762'}"
"{'mp-30746', 'mp-135', 'mp-2762'}"
"{'mp-30746', 'mp-135', 'mp-1198712'}"
"{'mp-135', 'mp-1207785', 'mp-112'}"
"{'mp-135', 'mp-867235', 'mp-1198712'}"
"{'mp-135', 'mp-1207785', 'mp-867235'}"
"{'mp-135', 'mp-279', 'mp-867253'}"
"{'mp-135', 'mp-1934', 'mp-867253'}"
"{'mp-1101953', 'mp-135', 'mp-49'}"
"{'mp-135', 'mp-1190011', 'mp-144'}"
"{'mp-1101953', 'mp-135', 'mp-867269'}"
"{'mp-135', 'mp-1190011', 'mp-867269'}"
"{'mp-135', 'mp-862658', 'mp-867272'}"
"{'mp-135', 'mp-867272', 'mp-568404'}"
"{'mp-135', 'mp-2725', 'mp-279'}"
"{'mp-1201266', 'mp-135', 'mp-2725'}"
"{'mp-135', 'mp-11698', 'mp-1106276'}"
"{'mp-1201266', 'mp-135', 'mp-867285'}"
"{'mp-135', 'mp-867285', 'mp-1106276'}"
"{'mp-135', 'mp-1057315', 'mp-867474'}"
"{'mp-135', 'mp-573471', 'mp-867474'}"
"{'mp-135', 'mp-112', 'mp-1646'}"
"{'mp-135', 'mp-2593', 'mp-23'}"
"{'mp-135', 'mp-1487', 'mp-862318'}"
"{'mp-135', 'mp-16514', 'mp-1487'}"
"{'mp-135', 'mp-862318', 'mp-568404'}"
"{'mp-867812', 'mp-135', 'mp-2593'}"
"{'mp-867812', 'mp-135', 'mp-16514'}"
"{'mp-135', 'mp-1184905', 'mp-2286'}"
"{'mp-135', 'mp-1960', 'mp-11534'}"
"{'mp-600561', 'mp-135', 'mp-377'}"
"{'mp-135', 'mp-145', 'mp-977405'}"
"{'mp-977405', 'mp-135', 'mp-377'}"
"{'mp-72', 'mp-135', 'mp-2339'}"
"{'mp-135', 'mp-867227', 'mp-2339'}"
"{'mp-135', 'mp-1186231', 'mp-279'}"
"{'mp-135', 'mp-75', 'mp-1458'}"
"{'mp-135', 'mp-1186231', 'mp-977563'}"
"{'mp-135', 'mp-977563', 'mp-1458'}"
"{'mp-135', 'mp-1934', 'mp-2074'}"
"{'mp-1153', 'mp-135', 'mp-67'}"
"{'mp-135', 'mp-1197547', 'mp-2074'}"
"{'mp-135', 'mp-2074', 'mp-1184067'}"
"{'mp-135', 'mp-144', 'mp-2074'}"
"{'mp-135', 'mp-12049', 'mp-123'}"
"{'mp-135', 'mp-12049', 'mp-2074'}"
"{'mp-135', 'mp-23222', 'mp-1059256'}"
"{'mp-1071848', 'mp-1059256', 'mp-135'}"
"{'mp-1071848', 'mp-135', 'mp-2074'}"
"{'mp-135', 'mp-75', 'mp-2286'}"
"{'mp-2251', 'mp-135', 'mp-573471'}"
"{'mp-2251', 'mp-135', 'mp-510430'}"
"{'mp-135', 'mp-573471', 'mp-862658'}"
"{'mp-135', 'mp-867227', 'mp-23703'}"
"{'mp-135', 'mp-1138', 'mp-75'}"
"{'mp-49', 'mp-135', 'mp-1138'}"
"{'mp-135', 'mp-1079394', 'mp-1184067'}"
"{'mp-135', 'mp-1079394', 'mp-1777'}"
"{'mp-135', 'mp-861894', 'mp-26'}"
"{'mp-135', 'mp-573471', 'mp-861894'}"
"{'mp-162', 'mp-135', 'mp-1095274'}"
"{'mp-757', 'mp-135', 'mp-1095274'}"
"{'mp-135', 'mp-1057315', 'mp-1095352'}"
"{'mp-757', 'mp-135', 'mp-1095352'}"
"{'mp-162', 'mp-1095371', 'mp-135'}"
"{'mp-1095371', 'mp-135', 'mp-2074'}"
"{'mp-135', 'mp-15821', 'mp-123'}"
"{'mp-135', 'mp-15821', 'mp-1777'}"
"{'mp-1153', 'mp-135', 'mp-1186901'}"
"{'mp-975904', 'mp-135', 'mp-7396'}"
"{'mp-135', 'mp-7396', 'mp-1646'}"
"{'mp-135', 'mp-23222', 'mp-1646'}"
"{'mp-975904', 'mp-135', 'mp-976408'}"
"{'mp-72', 'mp-135', 'mp-1079796'}"
"{'mp-13164', 'mp-1079796', 'mp-135'}"
"{'mp-135', 'mp-13164', 'mp-1197547'}"
"{'mp-135', 'mp-1185270', 'mp-11534'}"
"{'mp-600561', 'mp-135', 'mp-1185270'}"
"{'mp-87', 'mp-1072399', 'mp-135'}"
"{'mp-1072399', 'mp-867227', 'mp-135'}"
"{'mp-600561', 'mp-135', 'mp-1185329'}"
"{'mp-135', 'mp-1183069', 'mp-1185329'}"
"{'mp-135', 'mp-28', 'mp-1646'}"
"{'mp-135', 'mp-7396', 'mp-1057315'}"
"{'mp-49', 'mp-135', 'mp-510184'}"
"{'mp-1185354', 'mp-155', 'mp-135'}"
"{'mp-510184', 'mp-1185354', 'mp-135'}"
"{'mp-135', 'mp-866195', 'mp-26'}"
"{'mp-135', 'mp-7396', 'mp-866195'}"
"{'mp-135', 'mp-510430', 'mp-23'}"
"{'mp-135', 'mp-145', 'mp-7396'}"
"{'mp-135', 'mp-20353', 'mp-29210'}"
"{'mp-135', 'mp-1185394', 'mp-155'}"
"{'mp-135', 'mp-1185394', 'mp-20353'}"
"{'mp-135', 'mp-37', 'mp-1646'}"
"{'mp-135', 'mp-1188469', 'mp-26'}"
"{'mp-135', 'mp-1188469', 'mp-1777'}"
"{'mp-1191015', 'mp-135', 'mp-123'}"
"{'mp-1191015', 'mp-573471', 'mp-135'}"
"{'mp-135', 'mp-1192210', 'mp-1184067'}"
"{'mp-135', 'mp-1192210', 'mp-573471'}"
"{'mp-976408', 'mp-135', 'mp-568404'}"
"{'mp-135', 'mp-1197580', 'mp-1646'}"
"{'mp-135', 'mp-1197580', 'mp-570466'}"
"{'mp-135', 'mp-112', 'mp-2074'}"
"{'mp-1153', 'mp-135', 'mp-131'}"
"{'mp-1153', 'mp-135', 'mp-103'}"
