id,material_id,pretty_formula
424,mp-865737,Li2InSn
425,mp-865738,LiPrHg2
426,mp-865793,LiSc2Rh
427,mp-865838,LiSiRu2
428,mp-865866,LiZrPt2
429,mp-865867,Li2YTl
430,mp-865868,LiZrRh2
431,mp-865870,LiZr2Os
432,mp-865871,Li2ZnAu
433,mp-865890,Li2CaIn
434,mp-865912,LiZn2Rh
435,mp-865924,LiZrAu2
436,mp-865933,LiSiIr2
437,mp-865936,LiSc2Tc
438,mp-865939,LiMg2
439,mp-865940,LiThAu2
440,mp-865964,Li2CaSn
441,mp-866176,Li2PdAu
442,mp-866179,Li2NdTl
443,mp-866181,Li2NdIn
444,mp-866191,Li2YbSi
445,mp-866197,Li2PrPb
446,mp-867108,LiDyTl2
447,mp-867115,LiCd2Rh
448,mp-867161,LiIn3
449,mp-867162,LiTm2Rh
450,mp-867174,SrLi2Pb
451,mp-867197,LiGaNi2
452,mp-867198,LiGaPd2
453,mp-867206,LiCd2Pt
454,mp-867223,LiGa2Ni
455,mp-867227,Li3Pt
456,mp-867235,LiY2Ir
457,mp-867251,LiZn2Pt
458,mp-867253,LiZn2Ir
459,mp-867255,LiZn2Au
460,mp-867269,LiHo2Os
461,mp-867272,LiAlCu2
462,mp-867285,LiTb2Ir
463,mp-867474,Li2EuSn
464,mp-867805,LiCa2Ga
465,mp-867810,LiYHg2
466,mp-867812,LiAlNi2
467,mp-867926,LiInPd2
468,mp-8754,NaLiTe
469,mp-8756,KLiSe
470,mp-8804,Li6MoN4
471,mp-8864,Li(Co3P2)2
472,mp-9124,LiZnAs
473,mp-9159,Li4NpO5
474,mp-9172,Li4TiO4
475,mp-9244,LiBC
476,mp-9308,Li4ZrF8
477,mp-934,LiTl
478,mp-9563,Li2Sb
479,mp-9568,Li3Ga2
480,mp-9588,LiP
481,mp-9610,Li2CN2
482,mp-9615,LiTiS2
483,mp-9657,LiAsO3
484,mp-973391,LiSiB6
485,mp-975799,LiZn3
486,mp-975904,Li3Cd
487,mp-976280,LiBr
488,mp-976408,Li3Ag
489,mp-976726,LiDyO2
490,mp-976955,Li2RuF6
491,mp-977393,LiLu2Ru
492,mp-977405,LiLu2Rh
493,mp-977418,LiMgAu2
494,mp-977440,LiTiPt2
495,mp-977563,LiNbIr2
496,mp-981935,Li5Mg
497,mp-983460,Li2PmGa
498,mp-9918,LiGe
499,mp-9919,LiZnSb
500,mp-995393,LiS4
501,mp-1001786,LiScS2
502,mp-10180,Li2SbPd
503,mp-10181,LiSiNi2
504,mp-1018135,LiCdAs
505,mp-10182,LiZnP
506,mp-1018763,Li3DySb2
507,mp-1018764,Li3HoSb2
508,mp-1018769,Li3NdSb2
509,mp-1018770,Li3PrBi2
510,mp-1018779,Li3PrSb2
511,mp-1018783,LiBeB
512,mp-1020024,Li6B4O9
513,mp-1025496,LiNbSe2
514,mp-1029297,LiZr2N3
515,mp-1029331,LiHf2N3
516,mp-1029385,Li2SnN2
517,mp-1029424,LiTi2N3
518,mp-1029448,Li5OsN4
519,mp-1029498,Li6CrN4
