id,chemsys
544,O-Li-La-Mo
545,Pb-Li-Ge-S
546,O-Li-Ge-Cr
547,B-O-Cl-Li
548,H-Li-Ba
549,U-F-Li
550,P-O-Li-Sb
551,Ga-Mn-Li-F
552,Rb-O-Pb-Li
553,H-N-Li-Na
554,K-In-As-Li
555,Cs-S-Li-V
556,Ga-O-Li-Na
557,H-Eu-Li
558,O-As-Li-Fe
559,Ru-O-Li-Ba
560,Os-O-Li-Ba
561,O-As-Li-Sc
562,Mn-O-Li-Na
563,B-S-Li-Ba
564,F-Co-Li-Sr
565,Ir-O-Li-Ba
566,P-Sn-O-Li
567,O-Sn-Zn-Li
568,Pr-N-O-Li
569,Rb-S-Li-Ta
570,Rb-O-Li-Mo
571,Ca-F-Li-Cr
572,K-Nb-O-Li
573,O-Cd-Li-Si
574,W-O-Li-Na
575,Ca-B-O-Li
576,Nd-K-Li-F
577,O-Li-Ba-W
578,O-Li-Ti-Ba
579,B-S-Li-Sr
580,Si-O-Li-Ba
581,K-O-Li-I
582,Se-O-Li-Fe
583,O-Pb-Li-Ti
584,Rb-S-Li-V
585,I-O-Li-Mo
586,Nb-O-Li-Bi
587,K-O-Pb-Li
588,O-N-Er-Li
589,Cs-S-Li-B
590,F-Li-Fe-Sr
591,Pr-O-S-Li
592,S-Li-I-Sb
593,Te-O-Li-V
594,V-O-Li-Mg
595,Si-O-Li-Ta
596,Rb-F-Li-Be
597,Bi-O-Li-Pd
598,O-Au-Li-La
599,P-O-Li-La
600,Cr-Li-Ba-F
601,F-O-Li-Ta
602,O-Li-Ge-Na
603,K-Ir-O-Li
604,Cs-O-Li-Cr
605,Se-Co-O-Li
606,N-Li-Ge-Sr
607,Rb-Dy-Li-Br
608,Cs-Cl-Li-Y
609,Ni-N-Li-Sr
610,Ca-Mn-N-Li
611,Li-Ge-Ba-Mg
612,Bi-Li-Mg
613,Cs-Lu-Li-Cl
614,Mn-N-Li-Sr
615,Ca-N-Li-Ga
616,Cs-In-Cl-Li
617,Cs-Nb-S-Li
618,N-Li-Ba-Mo
619,Ir-O-Li-Sr
620,Ca-F-Li-Al
621,F-V-Li-Na
622,Si-O-Li-Sc
623,Gd-O-Li-P
624,Re-O-Li-Ba
625,N-Li-Cr-Sr
626,Eu-Li-Ge-S
627,Ca-Ru-O-Li
628,H-Cs-N-Li
629,H-Ru-Li-Mg
