material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-22862,NaCl,5.003,0.000,False,"[18189, 240599, 240604, 61662, 53816, 240598, 100633, 240601, 52232, 622369, 41411, 44277, 240603, 52233, 165592, 240602, 240600, 181148, 162800, 169462, 28948, 41439, 60280, 655785, 53815]"
mp-22851,NaCl,3.972,0.155,False,"[190542, 622368, 43434]"
mp-752672,NaDyO2,4.044,0.000,True,[]
mp-674459,NaErF4,6.854,0.000,True,[]
mp-11601,NaErO2,4.068,0.001,False,[97544]
mp-5586,NaErO2,4.054,0.000,False,"[97543, 2739]"
mp-682,NaF,6.094,0.000,False,"[262837, 29128, 41410, 44276, 41438, 53840, 52238, 53821, 43611, 262838]"
mp-1221034,NaGdF4,4.490,0.000,True,[]
mp-5088,NaGdO2,3.117,0.000,False,"[22040, 97542]"
mp-23870,NaH,3.797,0.000,False,"[183291, 186372, 186373, 261353, 33670, 186368, 56073, 33671]"
mp-1220764,NaHfScO4,4.106,0.000,True,[]
mp-1220708,NaHoF4,6.722,0.000,True,[]
mp-675798,NaHoF4,6.867,0.000,True,[]
mp-755617,NaHoO2,4.005,0.000,True,[]
mp-1064979,NaI,4.027,0.118,False,[36190]
mp-23268,NaI,3.526,0.000,False,"[61504, 53823, 52240, 61502, 44279, 61503]"
mp-13019,NaLa2TaO6,3.969,0.000,False,[159206]
mp-1220826,NaLaF4,6.167,0.000,True,[]
mp-755586,NaLaO2,3.241,0.000,True,[]
mp-1020648,NaLaSiO4,4.458,0.000,False,[430196]
mp-560189,NaLi2BO3,3.950,0.000,False,[62532]
mp-559904,NaLi3SiO4,4.500,0.000,False,[202115]
mp-1209986,NaLiEr2F8,7.235,0.000,True,[]
mp-1210003,NaLiHo2F8,7.327,0.000,True,[]
mp-1209991,NaLiLu2F8,7.271,0.000,True,[]
mp-8452,NaLiS,3.048,0.000,False,[61091]
mp-1210006,NaLiTm2F8,7.302,0.000,True,[]
mp-755311,NaLuO2,4.061,0.000,True,[]
mp-22003,NaN3,4.024,0.000,False,"[24006, 1144, 28897, 34674, 34267]"
mp-570538,NaN3,3.942,0.002,False,"[155167, 34676]"
mp-1066400,NaN3,4.151,0.002,False,[644523]
mp-1220999,NaNdF4,7.083,0.000,True,[]
mp-8128,NaNdO2,3.334,0.000,False,[31317]
mp-13774,NaNdSiO4,4.478,0.000,False,[20287]
mp-10572,NaPN2,4.682,0.000,False,[411818]
mp-1220948,NaPrF4,7.032,0.000,True,[]
mp-8470,NaPrO2,3.197,0.000,False,[61682]
mp-7914,NaScO2,3.990,0.000,False,[25729]
mp-8973,NaSi2N3,4.184,0.000,False,[72466]
mp-1220915,NaSmF4,7.133,0.000,True,[]
mp-754027,NaSmO2,3.613,0.000,True,[]
mp-13042,NaSr3TaO6,3.894,0.000,False,[418491]
mp-556695,NaSrBO3,3.849,0.000,False,"[239003, 172420]"
mp-6964,NaTbO2,3.892,0.000,False,[61683]
mp-754825,NaTmO2,4.076,0.000,True,[]
mp-34081,NaYF4,6.924,0.000,True,[]
mp-30980,NaYO2,4.133,0.000,False,[2740]
mp-17891,NaYSiO4,4.283,0.000,False,"[20161, 30384]"
mp-2763,Nd2O3,3.834,0.038,False,"[191536, 169442, 96199, 184526, 28180, 645656, 32514, 160208, 645659, 645663, 645658]"
mp-1045,Nd2O3,3.708,0.000,False,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-17904,Nd2TiO5,3.314,0.000,False,"[195209, 262619, 2898, 247560]"
mp-31417,Nd3TaO7,3.483,0.000,False,"[55659, 55658]"
mp-1192039,Nd3TaO7,3.470,0.005,False,[55658]
mp-5634,NdOF,4.531,0.000,False,"[95656, 95658, 95659, 184005, 95655, 95660, 95657]"
mp-16705,Pr2O3,3.659,0.000,False,"[647301, 184533, 647290, 96203]"
mp-2063,Pr2O3,3.776,0.026,False,"[154588, 160207, 184525, 600743, 647302, 61179, 647291, 75481, 96198]"
mp-14964,Pr3TaO7,3.424,0.000,False,[78008]
mp-769173,PrOF,4.436,0.000,True,[]
mp-13815,Rb2NaErF6,6.498,0.000,False,[23142]
mp-15317,Rb2NaHoF6,6.481,0.001,False,[86273]
mp-15318,Rb2NaHoF6,6.530,0.000,False,[86274]
mp-1114456,Rb2NaScF6,6.908,0.000,True,[]
mp-13926,Rb2NaYF6,6.470,0.000,False,[25369]
mp-22867,RbBr,4.193,0.000,False,"[44286, 53830, 18017, 22167, 53845]"
mp-23303,RbBr,3.927,0.055,False,"[61560, 61522]"
mp-23295,RbCl,4.839,0.000,False,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]"
mp-23299,RbCl,4.779,0.061,False,"[61561, 60401, 44620, 61521, 61535, 26877]"
mp-555932,RbEr3F10,7.282,0.000,False,[418211]
mp-22903,RbI,3.777,0.000,False,"[53831, 61536, 22168, 44287, 53846]"
mp-23302,RbI,3.346,0.050,False,"[61559, 44619, 61523]"
mp-743,RbN3,4.174,0.000,False,"[34272, 644650, 34273, 25007]"
mp-581833,RbN3,3.753,0.016,False,[16963]
mp-774749,RbNa3Li12Ti4O16,4.309,0.000,True,[]
mp-556185,RbNaTiO3,3.461,0.000,False,[78753]
mp-216,Sc2O3,3.824,0.000,False,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]"
mp-218,Sm2O3,3.782,0.000,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-10733,Sm2O3,3.960,0.040,False,"[160210, 647455, 77685]"
mp-1745,Sm2O3,3.750,0.032,False,"[34291, 42696, 184527, 261888, 160225, 647449, 202903]"
mp-770806,Sm2TiO5,3.304,0.000,False,"[195210, 191142]"
mp-9488,SmOF,4.693,0.000,False,[81948]
