entry_id,pretty_formula
mp-2391,YbPd3
mp-1105057,Yb3Pd4
mp-1190258,Yb3Pd
mp-569480,URe2
mp-570436,CaIr2
mp-570356,Ca5Ir
mp-978976,Ti6Al16Pt7
mp-570713,TiAlPt
mp-3944,ZrAlNi2
mp-5723,ZrAlNi
mp-1193679,Zr6Al16Ni7
mp-30183,ZrAl5Ni2
mp-5778,AlVFe2
mp-636403,PuNi3
mp-613989,Pu
mp-21315,PuNi5
mp-569318,PuNi4
mp-2523,PuPt3
mp-680426,Pu31Pt20
mp-861951,LiTaRh2
mp-1103212,TaRh2
mp-1020,TaRh3
mp-861953,AlFeRh2
mp-1184364,Fe3Rh
mp-1918,FeRh
mp-1184368,FeRh3
mp-567590,LuOs2
mp-861963,LiLu2Os
mp-2126,HfIr3
mp-567490,Hf5Re24
mp-1007786,HfIr
mp-867792,ReIr3
mp-1219533,ReIr
mp-1186902,Re3Ir
mp-861978,Hf2ReIr
mp-1203605,Hf21Re25
mp-1212499,Hf5Ir3
mp-1689,HfRe2
mp-2665,PrRu2
mp-1197932,Pr7Ru3
mp-1209381,Pr3(Al3Ru)4
mp-861986,Pr5Al2Ru3
mp-1104937,Pr5Ru2
mp-1105741,Pr3Ru
mp-1193957,Pr(Al5Ru)2
mp-861991,PaMn2Al
mp-862288,AlFe2W
mp-1473,Fe7W6
mp-30819,LiAl2Pt
mp-30818,Li2AlPt
mp-862296,LiAlPt2
mp-861931,LiPt3
mp-11807,LiPt
mp-867227,Li3Pt
mp-30765,LiPt7
mp-2170,Li2Pt
mp-30821,LiAl2Rh
mp-862297,LiAlRh2
mp-481,ScPt3
mp-892,ScPt
mp-862368,Sc2NiPt
mp-11550,Sc2Pt
mp-1196981,Sc57Pt13
mp-635,ScRh3
mp-1186926,Ru3Rh
mp-1780,ScRh
mp-30863,Sc57Rh13
mp-1194143,Sc11Ru4
mp-862372,Sc2RuRh
mp-30867,ScRu
mp-567750,ScRu2
mp-1209947,Sc44Ru7
mp-862558,LiEr2Os
mp-862622,BeRu2W
mp-862655,Ru3W
mp-11282,Be2W
mp-30443,Be17Ru3
mp-865562,Be3Ru
mp-1103315,Be2Ru
mp-568827,Be12W
mp-862661,LiEr2Ru
mp-11452,HfOs
mp-862684,LiHf2Os
mp-862700,AlVOs2
mp-866121,V3Os
mp-862725,ScTc2W
mp-867262,ScTc3
mp-861889,Sc3Tc
mp-862764,LiCa2Rh
mp-570466,Li2Ca
mp-862765,LiGd2Ir
mp-862776,TmPaOs2
mp-862841,LiPm2Os
mp-862849,Ac2NiIr
mp-1183069,Ac
mp-862886,CaPmPt2
mp-567612,ScOs2
mp-862887,LiSc2Os
mp-12305,Sc11Os4
mp-568623,Sc44Os7
mp-11573,TiTc
mp-865733,CoTc3
mp-608,TiCo3
mp-862911,Ti2CoTc
mp-823,TiCo
mp-1191331,Ti2Co
mp-863677,PmCu3
mp-863668,Pm2CuOs
mp-863716,Pm2IrPd
mp-863717,Pm2NiRu
mp-863709,Ir3Rh
