entry_id,pretty_formula
mp-30428,BaCu
mp-1278,Zr2Si
mp-1207024,Zr3Si2
mp-893,ZrSi
mp-729,Cr3Si
mp-645,TbP
mp-22903,RbI
mp-2108,Ti5Si3
mp-866141,TiFe2Si
mp-2199,Fe3Si
mp-1079585,Nb2N
mp-14827,Li7NbN4
mp-2157,Co3W
mp-1211088,LiCaP
mp-7084,SrCaSi
mp-24286,ZrH2
mp-697179,ZrH
mp-4511,La2SO2
mp-2350,LaS
mp-4495,KLiTe
mp-1845,CaBe13
mp-683,Pr2C3
mp-867293,LiCo2Si
mp-29025,Li5Br2N
mp-28989,Li10BrN3
mp-16264,LiCaSb
mp-1208630,SrC6
mp-23056,Sr2BrN
mp-12317,SrCN2
mp-569782,Sr2LiCBr3N2
mp-567744,SrBr2
mp-867211,LiCa2In
mp-28861,CsC8
mp-3216,Li2ZrN2
mp-1352,ZrN
mp-1014265,Zr2N
mp-674456,Zr10HN8
mp-13971,Nd2SeO2
mp-4764,Pr2SeO2
mp-5459,Nd2TeO2
mp-6799,LiCa4(BN2)3
mp-1190061,Eu5Si3
mp-771,MnAl
mp-24153,LaH2
mp-28255,LaHO
mp-1187696,VCr3
mp-1187695,V3Cr
mp-1216394,VCr
mp-1079399,V3Fe
mp-866134,VFe3
mp-17193,Ca3GeO
mp-542830,Mn23C6
mp-28930,KC8
mp-1185970,Mn3Co
mp-1191331,Ti2Co
mp-823,TiCo
mp-608,TiCo3
mp-12659,Mn2Nb
mp-1837,TbCu
mp-1527,TbCu2
mp-11363,TbCu5
mp-1232420,LiMg2Ir
