0,1,2,3,4,5,6
mp-1019608,mp-1184151,mp-1184905,mp-971,,,
mp-1019608,mp-1184905,mp-3919,mp-971,,,
mp-1019608,mp-1184151,mp-1184905,mp-3919,,,
mp-1184905,mp-1747,mp-3614,mp-50,,,
mp-1184905,mp-1747,mp-3614,mp-971,,,
mp-1022,mp-1184905,mp-1201758,mp-1405,,,
mp-11698,mp-1184905,mp-1610,mp-2610,,,
mp-1184905,mp-1610,mp-1673,mp-2610,,,
mp-1022,mp-1184905,mp-1405,mp-999129,,,
mp-1184905,mp-1405,mp-1673,mp-999129,,,
mp-1184905,mp-1610,mp-1673,mp-999129,,,
mp-113,mp-1184905,mp-463,mp-971,,,
mp-1076,mp-1184905,mp-1346,mp-8426,,,
mp-1184905,mp-3919,mp-8426,mp-971,,,
mp-1184905,mp-1346,mp-3919,mp-8426,,,
mp-1057315,mp-1138,mp-1184905,mp-504731,,,
mp-1018134,mp-1057315,mp-1138,mp-1184905,,,
mp-1138,mp-1184905,mp-463,mp-504731,,,
mp-1184905,mp-1216,mp-1820,mp-972364,,,
mp-1022,mp-1184905,mp-1216,mp-1820,,,
mp-1022,mp-1184905,mp-1216,mp-971,,,
mp-1184905,mp-1857,mp-201,mp-972364,,,
mp-1184905,mp-1187653,mp-1202778,mp-14017,,,
mp-1184905,mp-1187653,mp-14017,mp-1857,,,
mp-1184905,mp-14017,mp-1857,mp-201,,,
mp-1179656,mp-1184905,mp-463,mp-90,,,
mp-10172,mp-1184905,mp-2352,mp-33,,,
mp-1184905,mp-2352,mp-33,mp-971,,,
mp-1184115,mp-1184905,mp-12671,mp-1623,,,
mp-1022,mp-1184905,mp-12671,mp-679,,,
mp-1184115,mp-1184905,mp-12671,mp-679,,,
mp-1184905,mp-12671,mp-1623,mp-4326,,,
mp-1022,mp-1184905,mp-12671,mp-4326,,,
mp-1022,mp-1184905,mp-7959,mp-971,,,
mp-1022,mp-1184905,mp-679,mp-7959,,,
mp-11266,mp-1184905,mp-1202778,mp-14017,,,
mp-11266,mp-1184905,mp-14017,mp-9909,,,
mp-11266,mp-1184905,mp-527,mp-9909,,,
mp-1184905,mp-122,mp-8093,mp-9909,,,
mp-1184905,mp-527,mp-8093,mp-9909,,,
mp-1184905,mp-122,mp-22898,mp-551835,,,
mp-1184905,mp-122,mp-1342,mp-551835,,,
mp-1184905,mp-1342,mp-22898,mp-551835,,,
mp-1184905,mp-1342,mp-22898,mp-768368,,,
mp-1184905,mp-1342,mp-28171,mp-971,,,
mp-1184905,mp-1342,mp-28171,mp-768368,,,
mp-1096,mp-1184905,mp-21708,mp-567332,,,
mp-1022,mp-1184905,mp-21708,mp-30,,,
mp-1022,mp-1096,mp-1184905,mp-21708,,,
mp-10659,mp-1184151,mp-1184905,mp-23193,,,
mp-1018134,mp-1138,mp-1184905,mp-862658,,,
mp-1138,mp-1184905,mp-30,mp-862658,,,
mp-1138,mp-1184905,mp-30,mp-463,,,
mp-1056,mp-1184905,mp-28930,mp-3963,,,
mp-1056,mp-1184905,mp-15237,mp-28930,,,
mp-1056,mp-11698,mp-1184905,mp-692,,,
mp-1056,mp-1184905,mp-15237,mp-692,,,
mp-1056,mp-1184905,mp-3963,mp-971,,,
mp-1184905,mp-1187739,mp-1334,mp-2652,,,
mp-1184905,mp-1334,mp-2652,mp-9459,,,
mp-1184905,mp-1200613,mp-2652,mp-9459,,,
mp-1184905,mp-1200613,mp-1200885,mp-2652,,,
mp-1184905,mp-28930,mp-3963,mp-8409,,,
mp-1184905,mp-2652,mp-28930,mp-8409,,,
mp-1184905,mp-1200885,mp-2652,mp-28930,,,
mp-1184905,mp-3963,mp-769176,mp-971,,,
mp-1184905,mp-3963,mp-769176,mp-8409,,,
mp-1184905,mp-1219177,mp-218,mp-569335,,,
mp-1184905,mp-1219177,mp-218,mp-86,,,
mp-1178133,mp-1184905,mp-28930,mp-3963,,,
mp-1178133,mp-1184905,mp-218,mp-28930,,,
mp-1184905,mp-218,mp-28930,mp-569335,,,
