material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-1178133,KSmO2,3.863,0.000,True,[]
mp-554346,KSr4(BO3)3,4.173,0.000,False,"[171423, 425548, 423814]"
mp-1202753,KTmF4,6.837,0.000,False,[186999]
mp-753774,KTmO2,3.974,0.000,True,[]
mp-8409,KYO2,3.988,0.000,False,[49650]
mp-2292,La2O3,3.532,0.000,False,"[641600, 184531, 641602, 96201]"
mp-1968,La2O3,3.844,0.024,False,"[641603, 56166, 151763, 100204, 641599, 160205, 192270, 184524, 24693, 96196, 100205, 154586, 56771]"
mp-4511,La2SO2,3.080,0.000,False,"[31640, 31614, 260145, 154583, 14280]"
mp-5152,La2SiO5,4.461,0.000,False,"[157892, 109414]"
mp-18051,La2TiO5,3.286,0.000,False,"[195207, 261167, 262618, 28277, 247559]"
mp-31415,La3TaO7,3.454,0.000,False,"[109059, 55655]"
mp-8111,LaOF,4.257,0.006,False,"[430273, 30622]"
mp-7100,LaOF,4.575,0.000,False,"[430270, 76427]"
mp-1019967,LaSi3N5,3.193,0.000,False,[130022]
mp-7610,Li2CaSiO4,5.190,0.000,False,[19023]
mp-1960,Li2O,4.917,0.000,False,"[57411, 642216, 22402, 173193, 180569, 54368, 642219, 173206, 60431, 173180]"
mp-1153,Li2S,3.411,0.000,False,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]"
mp-557142,Li2S,3.160,0.175,False,[91283]
mp-1125,Li2S,3.899,0.056,False,"[91282, 91284]"
mp-2931,Li2TiO3,3.043,0.000,False,"[261238, 261236, 162215, 15150, 261239]"
mp-4156,Li2ZrO3,3.750,0.000,False,"[291154, 94897, 191166, 94895, 94896, 94894, 94893]"
mp-27275,Li3BO3,5.147,0.000,False,[9105]
mp-558294,Li3TaO4,4.517,0.001,False,[30584]
mp-3151,Li3TaO4,4.540,0.000,False,"[281301, 37126]"
mp-11737,Li4SiO4,4.774,0.000,False,[98615]
mp-559848,Li4SiO4,4.953,0.003,False,"[238603, 8222]"
mp-9172,Li4TiO4,4.559,0.000,False,[75164]
mp-15960,Li5AlO4,4.662,0.000,False,[42697]
mp-7535,Li5AlO4,4.797,0.003,False,"[16229, 1037]"
mp-755013,Li5TaO5,3.720,0.000,True,[]
mp-5418,Li6Zr2O7,3.944,0.000,False,"[73835, 73836, 41321]"
mp-28549,Li8SiO6,4.450,0.000,False,[65176]
mp-3427,LiAlO2,4.590,0.000,False,"[430357, 430358, 430359, 430184, 23815, 30249]"
mp-8001,LiAlO2,6.120,0.016,False,[28288]
mp-18793,LiCrO2,3.000,0.000,False,"[167479, 97758]"
